episode,timestep,reward,length,score,pg_loss,v_loss
118,5594,4.40,55,0,-0.0091,0.6729
119,5644,3.90,50,0,-0.0091,0.6729
120,5709,6.30,65,1,-0.0091,0.6729
121,5762,4.20,53,0,-0.0091,0.6729
122,5812,3.90,50,0,-0.0091,0.6729
123,5865,4.20,53,0,-0.0091,0.6729
124,5915,3.90,50,0,-0.0091,0.6729
125,5965,3.90,50,0,-0.0091,0.6729
126,6015,3.90,50,0,-0.0091,0.6729
127,6065,3.90,50,0,-0.0091,0.6729
128,6115,3.90,50,0,-0.0091,0.6729
129,6146,2.00,31,0,-0.0029,0.1251
130,6196,3.90,50,0,-0.0029,0.1251
131,6255,4.80,59,0,-0.0029,0.1251
132,6308,4.20,53,0,-0.0029,0.1251
133,6378,6.80,70,1,-0.0029,0.1251
134,6428,3.90,50,0,-0.0029,0.1251
135,6478,3.90,50,0,-0.0029,0.1251
136,6528,3.90,50,0,-0.0029,0.1251
137,6578,3.90,50,0,-0.0029,0.1251
138,6636,4.70,58,0,-0.0029,0.1251
139,6686,3.90,50,0,-0.0029,0.1251
140,6736,3.90,50,0,-0.0029,0.1251
141,6786,3.90,50,0,-0.0029,0.1251
142,6836,3.90,50,0,-0.0029,0.1251
143,6901,6.30,65,1,-0.0029,0.1251
144,6951,3.90,50,0,-0.0029,0.1251
145,7015,6.20,64,1,-0.0029,0.1251
146,7065,3.90,50,0,-0.0029,0.1251
147,7115,3.90,50,0,-0.0029,0.1251
148,7165,3.90,50,0,-0.0029,0.1251
149,7215,3.90,50,0,-0.0029,0.1251
150,7267,4.10,52,0,-0.0029,0.1251
151,7329,6.00,62,1,-0.0029,0.1251
152,7379,3.90,50,0,-0.0029,0.1251
153,7429,3.90,50,0,-0.0029,0.1251
154,7479,3.90,50,0,-0.0029,0.1251
155,7529,3.90,50,0,-0.0029,0.1251
156,7579,3.90,50,0,-0.0029,0.1251
157,7630,4.00,51,0,-0.0029,0.1251
158,7680,3.90,50,0,-0.0029,0.1251
159,7741,5.00,61,1,-0.0029,0.1251
160,7827,8.40,86,1,-0.0029,0.1251
161,7877,3.90,50,0,-0.0029,0.1251
162,7927,3.90,50,0,-0.0029,0.1251
163,7977,3.90,50,0,-0.0029,0.1251
164,8027,3.90,50,0,-0.0029,0.1251
165,8077,3.90,50,0,-0.0029,0.1251
166,8143,6.40,66,1,-0.0029,0.1251
167,8201,4.70,58,0,-0.0049,0.1771
168,8251,3.90,50,0,-0.0049,0.1771
169,8309,4.70,58,0,-0.0049,0.1771
170,8359,3.90,50,0,-0.0049,0.1771
171,8409,3.90,50,0,-0.0049,0.1771
172,8472,6.10,63,1,-0.0049,0.1771
173,8535,6.10,63,1,-0.0049,0.1771
174,8566,2.00,31,0,-0.0049,0.1771
175,8616,3.90,50,0,-0.0049,0.1771
176,8666,3.90,50,0,-0.0049,0.1771
177,8716,3.90,50,0,-0.0049,0.1771
178,8772,4.50,56,0,-0.0049,0.1771
179,8829,4.60,57,0,-0.0049,0.1771
180,8880,4.00,51,0,-0.0049,0.1771
181,8930,3.90,50,0,-0.0049,0.1771
182,8994,6.20,64,1,-0.0049,0.1771
183,9059,6.30,65,1,-0.0049,0.1771
184,9109,3.90,50,0,-0.0049,0.1771
185,9164,4.40,55,0,-0.0049,0.1771
186,9225,5.00,61,1,-0.0049,0.1771
187,9275,3.90,50,0,-0.0049,0.1771
188,9325,3.90,50,0,-0.0049,0.1771
189,9375,3.90,50,0,-0.0049,0.1771
190,9425,3.90,50,0,-0.0049,0.1771
191,9490,6.30,65,1,-0.0049,0.1771
192,9550,4.90,60,0,-0.0049,0.1771
193,9600,3.90,50,0,-0.0049,0.1771
194,9650,3.90,50,0,-0.0049,0.1771
195,9700,3.90,50,0,-0.0049,0.1771
196,9750,3.90,50,0,-0.0049,0.1771
197,9809,4.80,59,0,-0.0049,0.1771
198,9859,3.90,50,0,-0.0049,0.1771
199,9909,3.90,50,0,-0.0049,0.1771
200,9959,3.90,50,0,-0.0049,0.1771
201,10014,4.40,55,0,-0.0049,0.1771
202,10071,4.60,57,0,-0.0049,0.1771
203,10121,3.90,50,0,-0.0049,0.1771
204,10177,4.50,56,0,-0.0049,0.1771
205,10227,3.90,50,0,-0.0049,0.1771
206,10294,6.50,67,1,-0.0069,0.1304
207,10361,6.50,67,1,-0.0069,0.1304
208,10419,4.70,58,0,-0.0069,0.1304
209,10479,4.90,60,0,-0.0069,0.1304
210,10538,4.80,59,0,-0.0069,0.1304
211,10588,3.90,50,0,-0.0069,0.1304
212,10640,4.10,52,0,-0.0069,0.1304
213,10693,4.20,53,0,-0.0069,0.1304
214,10748,4.40,55,0,-0.0069,0.1304
215,10798,3.90,50,0,-0.0069,0.1304
216,10848,3.90,50,0,-0.0069,0.1304
217,10905,4.60,57,0,-0.0069,0.1304
218,10991,8.40,86,1,-0.0069,0.1304
219,11041,3.90,50,0,-0.0069,0.1304
220,11091,3.90,50,0,-0.0069,0.1304
221,11177,8.40,86,1,-0.0069,0.1304
222,11243,6.40,66,1,-0.0069,0.1304
223,11301,4.70,58,0,-0.0069,0.1304
224,11362,5.00,61,1,-0.0069,0.1304
225,11416,4.30,54,0,-0.0069,0.1304
226,11482,6.40,66,1,-0.0069,0.1304
227,11534,4.10,52,0,-0.0069,0.1304
228,11584,3.90,50,0,-0.0069,0.1304
229,11640,4.50,56,0,-0.0069,0.1304
230,11690,3.90,50,0,-0.0069,0.1304
231,11740,3.90,50,0,-0.0069,0.1304
232,11790,3.90,50,0,-0.0069,0.1304
233,11843,4.20,53,0,-0.0069,0.1304
234,11893,3.90,50,0,-0.0069,0.1304
235,11943,3.90,50,0,-0.0069,0.1304
236,11998,4.40,55,0,-0.0069,0.1304
237,12048,3.90,50,0,-0.0069,0.1304
238,12098,3.90,50,0,-0.0069,0.1304
239,12149,4.00,51,0,-0.0069,0.1304
240,12199,3.90,50,0,-0.0069,0.1304
241,12255,4.50,56,0,-0.0069,0.1304
242,12315,4.90,60,0,-0.0037,0.1689
243,12401,8.40,86,1,-0.0037,0.1689
244,12451,3.90,50,0,-0.0037,0.1689
245,12501,3.90,50,0,-0.0037,0.1689
246,12563,6.00,62,1,-0.0037,0.1689
247,12685,12.90,122,2,-0.0037,0.1689
248,12745,4.90,60,0,-0.0037,0.1689
249,12812,6.50,67,1,-0.0037,0.1689
250,12862,3.90,50,0,-0.0037,0.1689
251,12912,3.90,50,0,-0.0037,0.1689
252,12965,4.20,53,0,-0.0037,0.1689
253,13015,3.90,50,0,-0.0037,0.1689
254,13065,3.90,50,0,-0.0037,0.1689
255,13115,3.90,50,0,-0.0037,0.1689
256,13165,3.90,50,0,-0.0037,0.1689
257,13219,4.30,54,0,-0.0037,0.1689
258,13269,3.90,50,0,-0.0037,0.1689
259,13319,3.90,50,0,-0.0037,0.1689
260,13375,4.50,56,0,-0.0037,0.1689
261,13429,4.30,54,0,-0.0037,0.1689
262,13479,3.90,50,0,-0.0037,0.1689
263,13529,3.90,50,0,-0.0037,0.1689
264,13579,3.90,50,0,-0.0037,0.1689
265,13648,6.70,69,1,-0.0037,0.1689
266,13698,3.90,50,0,-0.0037,0.1689
267,13768,6.80,70,1,-0.0037,0.1689
268,13818,3.90,50,0,-0.0037,0.1689
269,13868,3.90,50,0,-0.0037,0.1689
